"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"ASV20";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Pseudanabaenales";"Leptolyngbyaceae";"Romeriopsis"
"ASV21";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Raoultella"
"ASV22";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Salmonella"
"ASV23";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Lyophyllaceae";"Termitomyces"
"ASV24";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Zymoseptoria"
"ASV25";"Bacteria";"Actinomycetota";"Actinomycetes";"Pseudonocardiales";"Pseudonocardiaceae";"Solihabitans"
"ASV26";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Scenedesmaceae";"Scenedesmus"
"ASV27";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Klebsiella"
"ASV28";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Brucellaceae";"Brucella"
"ASV29";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Dothidotthiaceae";"Dothidotthia"
"ASV30";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Enterobacter"
"ASV31";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Thermomonas"
"ASV32";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"Curvibacter"
"ASV33";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Boeremia"
"ASV34";"Bacteria";"Actinomycetota";"Actinomycetes";"Mycobacteriales";"Nocardiaceae";"Nocardia"
"ASV35";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Aspergillus"
"ASV36";"Eukaryota";"Perkinsozoa";"NA";"Perkinsida";"Perkinsidae";"Perkinsus"
"ASV37";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Erwiniaceae";"Buchnera"
"ASV38";"Bacteria";"Bacillota";"Clostridia";"Eubacteriales";"Peptostreptococcaceae";"Clostridioides"
"ASV39";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Chlamydomonadales";"Dunaliellaceae";"Dunaliella"
"ASV40";"Eukaryota";"Ascomycota";"Pneumocystidomycetes";"Pneumocystidales";"Pneumocystidaceae";"Pneumocystis"
"ASV41";"Eukaryota";"Oomycota";"NA";"Peronosporales";"Peronosporaceae";"Bremia"
"ASV42";"Eukaryota";"Ascomycota";"Taphrinomycetes";"Taphrinales";"Protomycetaceae";"Protomyces"
"ASV43";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";"Geopyxis"
"ASV44";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Tremellales";"Tremellaceae";"Tremella"
"ASV45";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";"Paraphaeosphaeria"
"ASV46";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Dermateaceae";"Coleophoma"
"ASV47";"Bacteria";"Actinomycetota";"Actinomycetes";"Kitasatosporales";"Streptomycetaceae";"Streptomyces"
"ASV48";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Glarea"
"ASV49";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Azospirillaceae";"Skermanella"
"ASV50";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Halopseudomonas"
"ASV51";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Micrococcaceae";"Arthrobacter"
"ASV52";"Eukaryota";"Oomycota";"NA";"Lagenidiales";"Lagenidiaceae";"Lagenidium"
"ASV53";"Eukaryota";"Ascomycota";"Leotiomycetes";"Erysiphales";"Erysiphaceae";"Erysiphe"
"ASV54";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"Podosporaceae";"Podospora"
"ASV55";"Eukaryota";"Basidiomycota";"Microbotryomycetes";"Microbotryales";"Microbotryaceae";"Microbotryum"
"ASV56";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Sclerotiniaceae";"Ciborinia"
"ASV57";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Lachnaceae";"Lachnellula"
"ASV58";"Eukaryota";"Ascomycota";"Sordariomycetes";"Magnaporthales";"Pyriculariaceae";"Pyricularia"
"ASV59";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Epicoccum"
"ASV60";"Bacteria";"Bacillota";"Tissierellia";"Tissierellales";"Tissierellaceae";"Soehngenia"
"ASV61";"Eukaryota";"Ascomycota";"Dothideomycetes";"Patellariales";"Patellariaceae";"Patellaria"
"ASV62";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Parastagonospora"
"ASV63";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Drepanopezizaceae";"Drepanopeziza"
"ASV64";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Nitrobacteraceae";"Bradyrhizobium"
"ASV65";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"ASV66";"Bacteria";"Actinomycetota";"Actinomycetes";"Mycobacteriales";"Mycobacteriaceae";"Mycobacterium"
"ASV67";"Eukaryota";"NA";"Xanthophyceae";"Tribonematales";"Tribonemataceae";"Tribonema"
"ASV68";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadaceae";"Chlamydomonas"
"ASV69";"Eukaryota";"Zoopagomycota";"Kickxellomycetes";"Kickxellales";"Kickxellaceae";"Coemansia"
"ASV70";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium"
"ASV71";"Eukaryota";"Ascomycota";"Leotiomycetes";"NA";"NA";"Scytalidium"
"ASV72";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Alternaria"
"ASV73";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Russulales";"Russulaceae";"Lactarius"
"ASV74";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Metschnikowiaceae";"Clavispora"
"ASV75";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Sporocadaceae";"Pestalotiopsis"
"ASV76";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Devosiaceae";"Devosia"
"ASV77";"Eukaryota";"NA";"Cryptophyceae";"Pyrenomonadales";"Geminigeraceae";"Guillardia"
"ASV78";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter"
"ASV79";"Eukaryota";"Ascomycota";"Dothideomycetes";"Capnodiales";"Piedraiaceae";"Piedraia"
"ASV80";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Bisporella"
"ASV81";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Sodiomyces"
"ASV82";"Viruses";"Viruses";"Viruses";"Viruses";"Viruses";"Viruses"
"ASV83";"cannot be assigned to a (non-viral) genus";"cannot be assigned to a (non-viral) genus";"cannot be assigned to a (non-viral) genus";"cannot be assigned to a (non-viral) genus";"cannot be assigned to a (non-viral) genus";"cannot be assigned to a (non-viral) genus"
"ASV84";"unclassified";"unclassified";"unclassified";"unclassified";"unclassified";"unclassified"
"ASV85";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Cercospora"
"ASV86";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium"
"ASV87";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"NA";"Cadophora"
"ASV88";"Eukaryota";"NA";"Dinophyceae";"Suessiales";"Symbiodiniaceae";"Symbiodinium"
"ASV89";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Leptosphaeriaceae";"Ampelomyces"
"ASV90";"Eukaryota";"NA";"Choanoflagellata";"Craspedida";"Salpingoecidae";"Salpingoeca"
"ASV91";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Leptodontidiaceae";"Leptodontidium"
"ASV92";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"NA";"Rhexocercosporidium"
"ASV93";"Eukaryota";"Chlorophyta";"Chlorophyceae";"NA";"NA";"Jenufa"
"ASV94";"Eukaryota";"Ciliophora";"Heterotrichea";"Heterotrichida";"Blepharismidae";"Blepharisma"
"ASV95";"Eukaryota";"Apicomplexa";"Conoidasida";"Eucoccidiorida";"Eimeriidae";"Eimeria"
"ASV96";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Ploettnerulaceae";"Rhynchosporium"
"ASV97";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Roseobacteraceae";"Shimia"
"ASV98";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Methylobacteriaceae";"Methylobacterium"
"ASV99";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"NA";"Amylocarpus"
"ASV100";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Pseudophaeobacter"
"ASV101";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Xanthomonas"
"ASV102";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Spirosomaceae";"Dyadobacter"
"ASV103";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyphodiscaceae";"Hyphodiscus"
"ASV104";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Curvularia"
"ASV105";"Eukaryota";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella"
"ASV106";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Massarinaceae";"Stagonospora"
"ASV107";"Eukaryota";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium"
"ASV108";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"NA";"Polytolypa"
"ASV109";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Glaesserella"
"ASV110";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Alteromonadales";"Pseudoalteromonadaceae";"Pseudoalteromonas"
"ASV111";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Rhizophlyctidales";"Rhizophlyctidaceae";"Rhizophlyctis"
"ASV112";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Microdochiaceae";"Microdochium"
"ASV113";"Bacteria";"Mycoplasmatota";"Mollicutes";"Mycoplasmatales";"Mycoplasmataceae";"Mycoplasma"
"ASV114";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Pyrenophora"
"ASV115";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Tremellales";"Cryptococcaceae";"Cryptococcus"
"ASV116";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"Ceratobasidium"
"ASV117";"Eukaryota";"Ascomycota";"Dothideomycetes";"Dothideales";"Saccotheciaceae";"Aureobasidium"
"ASV118";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Paenibacillaceae";"Paenibacillus"
"ASV119";"Eukaryota";"Rhodophyta";"Bangiophyceae";"Cyanidiales";"Cyanidiaceae";"Cyanidioschyzon"
"ASV120";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Staphylococcaceae";"Macrococcus"
"ASV121";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Strophariaceae";"Hypholoma"
"ASV122";"Eukaryota";"NA";"Dinophyceae";"Suessiales";"Suessiaceae";"Polarella"
"ASV123";"Eukaryota";"Blastocladiomycota";"Blastocladiomycetes";"Blastocladiales";"Coelomomycetaceae";"Coelomomyces"
"ASV124";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Helicosporidium"
"ASV125";"Eukaryota";"Ascomycota";"Sordariomycetes";"Chaetosphaeriales";"Chaetosphaeriaceae";"Thozetella"
"ASV126";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Synchytriales";"Synchytriaceae";"Synchytrium"
"ASV127";"Eukaryota";"Mucoromycota";"Glomeromycetes";"Diversisporales";"Gigasporaceae";"Racocetra"
"ASV128";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Pleuroascaceae";"Venustampulla"
"ASV129";"Eukaryota";"Oomycota";"NA";"Peronosporales";"Peronosporaceae";"Peronosclerospora"
"ASV130";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Filobasidiaceae";"Filobasidium"
"ASV131";"Eukaryota";"Oomycota";"NA";"Saprolegniales";"Saprolegniaceae";"Aphanomyces"
"ASV132";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Strophariaceae";"Agrocybe"
"ASV133";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"Delftia"
"ASV134";"Eukaryota";"Cryptomycota";"NA";"NA";"NA";"Rozella"
"ASV135";"Eukaryota";"Oomycota";"NA";"Pythiales";"Pythiaceae";"Pythium"
"ASV136";"Eukaryota";"Oomycota";"NA";"Peronosporales";"Peronosporaceae";"Nothophytophthora"
"ASV137";"Bacteria";"Actinomycetota";"Actinomycetes";"Streptosporangiales";"Thermomonosporaceae";"Actinomadura"
"ASV138";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Chlorella"
"ASV139";"Eukaryota";"Oomycota";"NA";"Peronosporales";"Peronosporaceae";"Plasmopara"
"ASV140";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Saccharomycodaceae";"Hanseniaspora"
"ASV141";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Selenastraceae";"Monoraphidium"
"ASV142";"Eukaryota";"Basidiomycota";"Malasseziomycetes";"Malasseziales";"Malasseziaceae";"Malassezia"
"ASV143";"Eukaryota";"Zoopagomycota";"Dimargaritomycetes";"Dimargaritales";"Dimargaritaceae";"Dispira"
"ASV144";"Eukaryota";"Oomycota";"NA";"Pythiales";"Pythiaceae";"Globisporangium"
"ASV145";"Eukaryota";"Basidiomycota";"Microbotryomycetes";"NA";"Chrysozymaceae";"Pseudohyphozyma"
"ASV146";"Eukaryota";"Chlorophyta";"Chloropicophyceae";"Chloropicales";"Chloropicaceae";"Chloropicon"
"ASV147";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Schizophyllaceae";"Schizophyllum"
"ASV148";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Chromatiales";"Ectothiorhodospiraceae";"Aquisalimonas"
"ASV149";"Eukaryota";"Ascomycota";"Dothideomycetes";"NA";"Pseudoperisporiaceae";"Lizonia"
"ASV150";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Neodidymelliopsis"
"ASV151";"Eukaryota";"Ascomycota";"Dothideomycetes";"Acrospermales";"Acrospermaceae";"Pseudovirgaria"
"ASV152";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Cucurbitariaceae";"Pyrenochaeta"
"ASV153";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Sebacinales";"Serendipitaceae";"Serendipita"
"ASV154";"Eukaryota";"Ciliophora";"Oligohymenophorea";"Peniculida";"Parameciidae";"Paramecium"
"ASV155";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Chromatiales";"Ectothiorhodospiraceae";"Thioalkalivibrio"
"ASV156";"Bacteria";"Bacteroidota";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"ASV157";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Chlamydomonadales";"Volvocaceae";"Volvox"
"ASV158";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella"
"ASV159";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Ascochyta"
"ASV160";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Strophariaceae";"Psilocybe"
"ASV161";"Eukaryota";"Chytridiomycota";"Monoblepharidomycetes";"Monoblepharidales";"NA";"Hyaloraphidium"
"ASV162";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"NA";"NA";"Picochlorum"
"ASV163";"Eukaryota";"Ascomycota";"Dothideomycetes";"Aulographales";"Aulographaceae";"Aulographum"
"ASV164";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"Rhizoctonia"
"ASV165";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Komagataeibacter"
"ASV166";"Eukaryota";"NA";"Bigyra";"Thraustochytrida";"Thraustochytriaceae";"Hondaea"
"ASV167";"Bacteria";"Bacteroidota";"Flavobacteriia";"Flavobacteriales";"Crocinitomicaceae";"Putridiphycobacter"
"ASV168";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Oceanospirillales";"Halomonadaceae";"Halomonas"
"ASV169";"Eukaryota";"Apicomplexa";"Aconoidasida";"Nephromycida";"NA";"Cardiosporidium"
"ASV170";"Eukaryota";"Chlorophyta";"Ulvophyceae";"Bryopsidales";"Ostreobiaceae";"Ostreobium"
"ASV171";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala"
"ASV172";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Trichosporonales";"Trichosporonaceae";"Trichosporon"
"ASV173";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Strophariaceae";"Pholiota"
"ASV174";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Burkholderia"
"ASV175";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Sutterellaceae";"Parasutterella"
"ASV176";"Eukaryota";"NA";"NA";"Apusomonadida";"Apusomonadidae";"Thecamonas"
"ASV177";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Diademaceae";"Clathrospora"
"ASV178";"Eukaryota";"Ascomycota";"Dothideomycetes";"Venturiales";"Venturiaceae";"Venturia"
"ASV179";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Rhizophydiales";"Terramycetaceae";"Terramyces"
"ASV180";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"Muribaculum"
"ASV181";"Eukaryota";"NA";"Cryptophyceae";"Cryptomonadales";"Cryptomonadaceae";"Cryptomonas"
"ASV182";"Bacteria";"Planctomycetota";"Planctomycetia";"Gemmatales";"Gemmataceae";"Gemmata"
"ASV183";"Eukaryota";"Chlorophyta";"Mamiellophyceae";"Mamiellales";"Mamiellaceae";"Micromonas"
"ASV184";"Eukaryota";"Zoopagomycota";"Basidiobolomycetes";"Basidiobolales";"Basidiobolaceae";"Basidiobolus"
"ASV185";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Tremellales";"Cryptococcaceae";"Kwoniella"
"ASV186";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Trichosporonales";"Trichosporonaceae";"Cutaneotrichosporon"
"ASV187";"Eukaryota";"Bacillariophyta";"Coscinodiscophyceae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"ASV188";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Undibacterium"
"ASV189";"Eukaryota";"Microsporidia";"NA";"NA";"Tubulinosematidae";"Anncaliia"
"ASV190";"Eukaryota";"Ascomycota";"Dothideomycetes";"Venturiales";"Sympoventuriaceae";"Verruconis"
"ASV191";"Eukaryota";"Mucoromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Glomus"
"ASV192";"Eukaryota";"Apicomplexa";"Aconoidasida";"Piroplasmida";"Babesiidae";"Babesia"
"ASV193";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Pseudanabaenales";"Leptolyngbyaceae";"Leptolyngbya"
"ASV194";"Eukaryota";"Evosea";"NA";"Pelobiontida";"Pelomyxidae";"Pelomyxa"
"ASV195";"Eukaryota";"Zoopagomycota";"Zoopagomycetes";"Zoopagales";"Piptocephalidaceae";"Piptocephalis"
"ASV196";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Ramularia"
"ASV197";"Eukaryota";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Rhodotorula"
"ASV198";"Eukaryota";"Zoopagomycota";"Harpellomycetes";"Harpellales";"Legeriomycetaceae";"Smittium"
"ASV199";"Eukaryota";"Discosea";"NA";"Longamoebia";"Acanthamoebidae";"Acanthamoeba"
"ASV200";"Eukaryota";"Mucoromycota";"Glomeromycetes";"Diversisporales";"Diversisporaceae";"Diversispora"
"ASV201";"Eukaryota";"Heterolobosea";"NA";"NA";"Vahlkampfiidae";"Naegleria"
"ASV202";"Eukaryota";"Mucoromycota";"Glomeromycetes";"Diversisporales";"Entrophosporaceae";"Entrophospora"
"ASV203";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Septoria"
"ASV204";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Cunninghamellaceae";"Absidia"
"ASV205";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Rhizobiaceae";"Liberibacter"
"ASV206";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Galeropsidaceae";"Panaeolus"
"ASV207";"Eukaryota";"Bacillariophyta";"Bacillariophyceae";"Naviculales";"Naviculaceae";"Fistulifera"
"ASV208";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Pisolithaceae";"Pisolithus"
"ASV209";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Linnemannia"
"ASV210";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Chytridiales";"Chytridiaceae";"Phlyctochytrium"
"ASV211";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Polyporaceae";"Trametes"
"ASV212";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Trebouxiales";"Trebouxiaceae";"Trebouxia"
"ASV213";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Stemphylium"
"ASV214";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia"
"ASV215";"Eukaryota";"Euglenozoa";"Euglenida";"Euglenales";"Euglenaceae";"Euglena"
"ASV216";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Lyophyllaceae";"Arthromyces"
"ASV217";"Eukaryota";"Parabasalia";"NA";"Tritrichomonadida";"Tritrichomonadidae";"Tritrichomonas"
"ASV218";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Mycenaceae";"Mycena"
"ASV219";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Crepidotaceae";"Crepidotus"
"ASV220";"Eukaryota";"Ascomycota";"Arthoniomycetes";"Arthoniales";"Chrysotrichaceae";"Chrysothrix"
"ASV221";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Spizellomycetales";"Powellomycetaceae";"Geranomyces"
"ASV222";"Eukaryota";"Chlorophyta";"NA";"NA";"Pycnococcaceae";"Pycnococcus"
"ASV223";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Cucurbitariaceae";"Cucurbitaria"
"ASV224";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Ophiocordycipitaceae";"Tolypocladium"
"ASV225";"Bacteria";"Bacteroidota";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter"
"ASV226";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Oscillatoriales";"Microcoleaceae";"Tychonema"
"ASV227";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Pilobolaceae";"Pilobolus"
"ASV228";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Amanitaceae";"Amanita"
"ASV229";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"Serpentinimonas"
"ASV230";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Spizellomycetales";"Powellomycetaceae";"Powellomyces"
"ASV231";"Eukaryota";"Ascomycota";"Lichinomycetes";"Lichinales";"Peltulaceae";"Peltula"
