Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
S1_3997596	0.02162	0.005	-3.0957E-2	0.00775	0.02535
S1_3997605	0.02044	0.00449	-3.0839E-2	0.00658	0.0272
S1_3997690	0.02121	0.0029	-2.6183E-2	0.00882	0.01661
S1_3997721	0.02365	0.00533	-1.7505E-2	-3.4758E-3	0.01202
S1_4003257	-3.5134E-2	0.00989	-3.2556E-2	0.02511	0.00289
S1_4003299	-3.1892E-2	0.00215	-2.7373E-2	0.02167	2.4162E-4
S1_4003315	-3.1039E-2	0.003	-2.47E-2	0.02119	8.2289E-4
S1_4003353	-3.4457E-2	0.0018	-2.5952E-2	0.0237	-3.1515E-4
S1_4016831	-2.5001E-4	0.04135	-4.4568E-2	-1.3067E-2	0.01524
S1_4016870	1.6994E-4	0.03647	-3.6829E-2	-3.0081E-3	0.01932
S1_4016881	-1.2607E-3	0.03375	-3.7083E-2	-3.3646E-3	0.01404
S1_4017319	-5.9405E-4	0.03499	-4.5213E-2	-3.6833E-3	0.01328
S1_4109340	-2.2749E-3	0.0152	0.02339	0.04423	0.00628
S1_4225017	-3.5404E-3	-1.5647E-2	-6.2687E-3	0.00295	-1.5007E-2
S1_4241688	0.0178	-2.2036E-2	-4.4241E-2	0.00743	0.02579
S1_4241693	0.01629	-2.4725E-2	-4.1438E-2	0.00785	0.02518
S1_4356000	-4.4036E-2	0.00896	-3.2348E-2	0.00659	-9.0999E-3
S1_4356011	-4.2027E-2	0.00771	-3.0855E-2	0.00733	-8.8878E-3
S1_4356015	-3.4433E-2	0.02344	-2.4555E-2	-1.6376E-4	-5.0361E-3
S1_4356018	-3.3727E-2	0.0235	-2.3877E-2	-4.0279E-4	-5.7183E-3
S1_4608428	-2.6679E-2	0.03435	-1.6052E-2	-6.6553E-4	-3.7892E-3
S1_4608519	0.00115	0.00464	4.5311E-4	0.00533	-4.7979E-3
S1_4608540	0.00127	0.01104	-3.1634E-3	0.00808	-6.4108E-3
S1_4608542	0.00109	0.00986	-3.3264E-3	0.01115	-5.1217E-3
S1_4620255	0.0231	0.01524	-1.3735E-2	0.02905	0.03115
S1_4796589	0.02846	0.00999	-1.9139E-2	-3.9201E-3	0.00408
S1_4889486	-3.9612E-3	-1.4127E-2	0.00185	-1.0377E-2	-1.0774E-2
S1_4889579	0.0274	-5.1232E-4	-3.8589E-2	0.00939	0.00897
S1_4927172	0.01041	-2.3137E-3	-7.5506E-3	-2.9544E-3	0.01061
S1_4989183	-1.161E-2	-1.6286E-3	-1.0961E-3	0.00345	0.00819
S1_5128490	-1.1436E-2	-3.2563E-2	-6.9314E-3	-2.9174E-4	-9.7431E-3
S1_5132718	0.02769	0.00938	-3.2476E-2	0.01159	-5.3203E-3
S1_5210278	-4.3648E-2	-2.1659E-2	-3.9836E-2	0.01308	-8.4272E-3
S1_5250700	-1.3879E-2	-4.0367E-2	-1.1666E-2	0.01105	-1.519E-2
S1_5250703	-1.3867E-2	-4.1764E-2	-1.2026E-2	0.00993	-1.425E-2
S1_5328846	-3.2855E-2	0.01004	-2.2106E-2	0.01033	-2.9231E-3
S1_5339922	0.00183	2.0974E-4	0.00794	-1.313E-2	-3.3361E-4
S1_5446577	0.00658	0.00982	0.03835	-3.1115E-2	0.06738
S1_5482068	0.00295	0.0416	-5.4714E-2	-3.1726E-3	0.02552
S1_5542694	0.00406	0.00862	0.02784	0.03324	0.00281
S1_5611236	-4.2083E-2	0.01573	-2.4254E-2	0.01273	7.5582E-4
S1_5711877	-9.8872E-3	-3.3762E-2	-1.4632E-2	0.01182	-9.42E-3
S1_5726318	-8.298E-3	0.0154	0.04202	0.00121	0.04352
S1_5734210	-5.5655E-3	-1.9338E-3	-1.5115E-2	0.0121	0.03836
S1_5840372	-3.4421E-2	0.02879	-1.7885E-2	-2.3495E-3	-9.1353E-3
S1_6105125	-8.7616E-3	-2.3509E-2	0.01262	-2.2566E-2	0.01163
S1_6283501	-3.8525E-3	0.00141	0.01439	0.03593	0.00494
S1_6425691	0.02191	0.00455	-2.5297E-2	0.00559	0.00889
S1_6425715	-4.1395E-3	-2.0297E-2	-7.9197E-3	0.00687	-9.2548E-3
S1_6457893	-4.1959E-2	0.01151	-1.6517E-2	0.05526	0.0133
S1_6497805	-4.5137E-3	-1.1867E-3	-2.0739E-2	0.00645	0.01599
S1_6568486	0.02175	-1.136E-2	-2.5395E-2	-4.5548E-3	0.02916
S1_6568488	0.02129	-1.1061E-2	-2.5027E-2	-5.2273E-3	0.02921
S1_6623446	0.01787	-1.2112E-2	-1.1686E-2	-3.5534E-2	0.04035
S1_6623447	0.01623	-1.0822E-2	-1.2949E-2	-3.5309E-2	0.0429
S1_6638728	0.00115	-2.373E-4	0.00524	-4.6737E-3	-1.031E-2
S1_6638729	8.0403E-4	0.00226	0.00794	-6.4052E-3	-1.4026E-2
S1_6698746	0.02089	0.00951	-4.6049E-2	0.01343	0.01338
S1_6974662	-2.3009E-2	0.03556	-8.2635E-3	-7.9734E-3	-9.582E-3
S1_7071587	-5.0186E-3	8.8808E-4	-2.6421E-2	0.00661	0.03685
S1_7084562	0.04471	0.02018	-2.7905E-2	0.00573	0.01015
S1_7088093	-1.2993E-2	-3.7295E-2	-1.271E-2	0.00765	-1.0582E-2
S1_7088259	-3.2513E-3	-1.4182E-2	-5.657E-3	0.01001	-6.7244E-3
S1_7130501	-4.1866E-2	-1.6222E-2	-3.3608E-2	0.00951	-2.8394E-3
S1_7146305	-9.9884E-3	-2.9709E-2	-1.1731E-2	-3.4957E-3	-7.1871E-3
S1_7146317	-4.3894E-2	0.004	-3.1108E-2	0.01124	-1.7598E-2
S1_7146362	-5.7681E-2	-2.792E-2	-3.8719E-2	0.01582	-2.8791E-2
S1_7146406	0.04975	0.01334	-2.5342E-2	-2.5632E-2	0.01598
S1_7178511	0.03753	0.01326	-3.7637E-2	-8.238E-3	0.01909
S1_7178621	-1.903E-2	-5.823E-2	-1.9169E-2	0.00845	-7.6095E-3
S1_7178732	-1.5359E-2	-5.341E-2	-1.8674E-2	0.00507	0.00338
S1_7178739	-1.601E-2	-5.6301E-2	-2.1193E-2	0.00675	0.00235
S1_7178740	-1.633E-2	-5.6324E-2	-2.0778E-2	0.00566	0.00264
S1_7178776	-1.1661E-2	-3.3389E-2	-1.3316E-2	0.00543	-6.2385E-3
S1_7181405	-1.3138E-2	-3.8952E-2	-1.8462E-2	0.01029	-6.5624E-4
S1_7339221	0.00277	0.01286	0.01915	0.03606	0.00327
S1_7339319	0.00328	0.01447	0.02735	0.04811	0.00908
S1_7339348	0.00143	0.01153	0.02367	0.03452	0.00365
S1_7375675	-3.722E-3	-1.2839E-2	-4.2586E-3	0.00518	-9.3498E-3
S1_7375676	-3.6678E-3	-1.2909E-2	-4.2074E-3	0.00558	-8.8954E-3
S1_7436715	-7.7999E-3	-2.5102E-2	-3.4828E-3	0.00901	-1.2378E-3
S1_7436757	-5.7337E-3	0.00595	-2.1939E-3	-7.6784E-3	0.01915
S1_7441839	0.00596	-1.4666E-3	-1.6503E-2	0.01969	0.02672
S1_7441863	0.00919	-2.756E-3	-1.644E-2	0.02831	0.02575
S1_7534290	0.02996	-2.1512E-2	-4.4371E-2	0.0142	0.0138
S1_7615170	0.04309	0.00574	-2.5851E-2	-2.7722E-2	0.06615
S1_7668821	0.0032	0.0017	6.9722E-4	-2.1913E-3	-3.2367E-5
S1_7668848	1.2184E-4	0.00383	-8.7267E-4	-4.7965E-3	0.00381
S1_7837208	-6.5343E-3	-2.5296E-2	-1.5281E-2	-2.918E-3	-5.1287E-3
S1_7879030	-4.0457E-4	0.03059	-4.3968E-2	-3.9187E-3	0.03775
S1_8052831	-2.519E-2	0.02838	-4.6795E-3	-2.8987E-2	0.00972
S1_8067656	0.03389	0.00616	-4.6156E-2	0.00651	0.02691
S1_8069115	-1.1425E-2	0.00162	-2.263E-2	0.02892	0.00764
S1_8069121	-7.2705E-3	0.00292	-1.1486E-2	0.01796	-7.0303E-4
S1_8122106	0.00751	-7.1115E-4	0.00144	-3.8244E-3	0.0015
S1_8200951	-2.1817E-2	0.02454	0.00179	-3.0131E-2	0.00547
S1_8200956	-2.1488E-2	0.02381	-1.5471E-4	-2.896E-2	0.00229
S1_8200957	-2.2212E-2	0.02462	-6.3526E-4	-2.9445E-2	0.00213
S1_8200965	-1.8786E-2	0.02164	-9.5631E-5	-2.8788E-2	0.00256
S1_8200966	-1.8751E-2	0.02193	8.1693E-4	-2.9017E-2	0.00252
S1_8200967	-1.8446E-2	0.02144	9.3578E-4	-2.9079E-2	0.00251
S1_8200977	-2.7535E-2	-2.1169E-2	-2.3315E-2	-3.0679E-2	0.02664
S1_8201070	-2.2737E-2	0.02336	0.00115	-3.6153E-2	0.00906
S1_8201131	-1.2413E-2	0.0317	0.04513	0.05804	-2.1172E-3
S1_8201135	-2.1909E-2	0.02385	9.0695E-4	-3.2834E-2	0.00929
S1_8201171	-4.6888E-3	-1.4338E-2	-3.9435E-3	0.00366	-5.3687E-3
S1_8201221	-1.4204E-2	0.01491	-1.2444E-3	-1.5476E-2	-2.9685E-3
S1_8224286	-2.5954E-2	0.0393	0.00701	-2.6323E-2	0.01238
S1_8268577	0.03219	0.01557	-3.0845E-2	0.00392	0.01169
S1_8268595	-2.4553E-2	0.03012	-1.3321E-2	-4.2362E-3	-5.7482E-3
S1_8324075	-1.6364E-2	0.02439	-4.9359E-3	-3.7746E-2	0.05129
S1_8338539	0.00216	0.01084	0.03235	0.03095	4.8129E-4
S1_8338580	0.02709	0.00439	-1.5515E-2	-1.1786E-2	0.0267
S1_8338581	-2.3062E-2	0.03364	-6.8048E-3	-2.9903E-3	-4.9786E-3
S1_8422882	0.00156	-9.4004E-3	0.01322	-3.9828E-2	0.01094
S1_8543408	0.03047	-1.163E-3	-4.9437E-2	0.0179	0.00935
S1_8560761	0.02584	0.01084	-1.9557E-2	0.01327	0.00858
S1_8560766	0.02551	0.01059	-2.0398E-2	0.01671	0.00809
S1_8861210	-2.8969E-2	0.03375	-5.609E-3	-1.91E-2	-5.5402E-3
S1_9207024	0.00104	0.01121	0.02023	0.03101	0.01455
S1_9217850	-3.5879E-2	0.03845	-9.7765E-3	0.02987	0.02044
S1_9217853	-3.5586E-2	0.03905	-8.5362E-3	0.02951	0.01933
S1_9300986	-2.364E-3	2.2964E-4	0.00694	0.03459	0.00488
S1_9380477	0.01219	-8.9444E-3	-1.042E-2	-1.2439E-2	0.0299
S1_9380491	0.01278	-9.5182E-3	-1.0585E-2	-1.2197E-2	0.03132
S1_9484379	0.03223	0.00637	-4.9131E-2	0.02644	0.02627
S1_9484385	0.0316	0.00504	-4.6787E-2	0.02753	0.02889
S1_9516801	-2.3188E-3	-1.1297E-2	-3.7181E-3	0.00575	-9.2694E-3
S1_9648267	-1.2211E-2	-3.4345E-2	-1.2164E-2	0.002	-7.5939E-3
S1_9731420	-1.0659E-2	-6.763E-2	-1.0636E-2	-2.791E-2	0.03898
S1_9747845	0.02611	0.02039	-1.027E-2	0.04455	0.0383
S1_9752725	0.00365	-5.4066E-3	0.00272	-6.4279E-3	-4.2213E-4
S1_9832816	0.00177	-1.5282E-3	0.00564	-5.0425E-3	-7.1582E-3
S1_9832818	0.00344	-2.3568E-3	0.00965	-3.7316E-3	-6.9055E-3
S1_10136303	0.02318	-5.4955E-3	-2.6214E-2	0.00363	0.01687
S1_10182600	-1.8821E-2	-2.8396E-2	0.01194	0.02128	0.03481
S1_10182624	-1.8558E-2	-2.9149E-2	0.00889	0.01241	0.04315
S1_10449685	0.00689	0.00881	0.03264	0.00755	0.0565
S1_10449740	0.00675	-1.4309E-3	7.167E-4	-3.8427E-3	0.00257
S1_10640621	-2.9326E-2	0.04195	-1.4392E-2	-4.2777E-3	5.8759E-4
S1_10640661	0.00851	-4.2313E-3	-4.9189E-3	-1.2858E-3	0.01216
S1_10640663	0.00842	-3.8857E-3	-5.3441E-3	-2.9793E-3	0.01037
S1_10737794	-3.5837E-2	-1.7943E-3	-2.5009E-2	0.02341	-2.0833E-3
S1_10827352	-7.4457E-6	-2.1408E-3	0.00501	-9.3648E-4	-4.504E-4
S1_10831752	0.00101	0.00855	0.00484	-8.2496E-3	-5.2716E-3
S1_10854921	0.00305	-1.7895E-3	0.00952	-1.2024E-2	-6.7308E-3
S1_10854922	0.00126	-1.9258E-3	0.00737	-8.2494E-3	-1.0582E-2
S1_10854923	0.00138	-1.7185E-3	0.00694	-6.5153E-3	-5.3976E-3
S1_11217953	-1.6588E-2	-4.37E-2	-2.221E-3	-1.3959E-2	0.00556
S1_11217958	-7.0712E-3	-4.0784E-2	0.01196	0.02575	0.04983
S1_11311799	0.01522	0.0019	-1.7368E-2	-5.459E-3	0.00659
S1_11311802	-1.938E-2	0.02748	-7.6967E-3	-2.5599E-3	-7.6942E-3
S1_11311809	0.01081	0.00487	-7.7873E-3	-2.06E-3	-1.0561E-2
S1_11311811	0.01484	0.00466	-1.6142E-2	-5.6746E-4	-4.7869E-3
S1_11311816	0.01336	-9.9127E-4	-1.4793E-2	-7.9424E-4	0.00538
S1_11311827	0.00215	0.01518	-3.7659E-2	0.01591	0.00175
S1_11311904	0.01798	0.01087	-2.011E-2	-1.4961E-3	-7.79E-3
S1_11311943	-5.9458E-3	0.0194	-3.0447E-2	-6.6706E-4	-4.1323E-3
S1_11311949	-2.2497E-2	0.02598	-9.048E-3	-3.4985E-3	-3.9465E-3
S1_11311952	-2.348E-2	0.02467	-1.1465E-2	-2.3979E-3	2.1103E-4
S1_11410945	-6.9935E-3	0.03908	-2.9017E-2	-2.2336E-2	0.0176
S1_11410950	-5.1681E-3	0.03985	-2.9808E-2	-1.9168E-2	0.0157
S1_11411130	0.0345	0.01603	-3.2428E-2	0.0143	0.011
S1_11531149	-6.861E-3	-2.447E-2	-1.038E-2	0.00182	-1.0589E-2
S1_11531199	-6.5681E-3	-2.6458E-2	-1.4039E-2	0.00249	-4.1403E-3
S1_11531203	-7.6471E-3	-2.7954E-2	-1.3938E-2	0.00281	-4.7285E-3
S1_11558984	-1.0917E-2	-3.7396E-2	-1.4535E-2	0.00934	-1.4549E-2
S1_11558986	0.01089	0.04042	-6.0824E-2	0.00438	0.04598
S1_11558989	-2.2344E-2	-4.738E-2	0.02598	0.00444	0.04059
S1_11616070	0.023	0.00382	-2.8071E-2	0.01065	0.02986
S1_11929215	0.00345	0.00779	0.03701	-1.2839E-3	0.01915
S1_11929292	0.00366	0.00761	0.03919	0.01247	0.01922
S1_12024514	-2.0449E-3	-9.5062E-3	0.00641	-5.89E-3	-9.1301E-3
S1_12024541	0.01224	9.5727E-5	-6.7849E-3	-4.6666E-3	0.00687
S1_12024607	-8.9344E-3	0.01852	-6.1243E-2	0.0114	0.00164
S1_12024615	0.00163	0.01049	0.04704	0.00676	0.04353
S1_12349573	-1.0471E-2	-3.9131E-2	0.00787	0.02515	0.04452
S1_12349589	0.00485	-6.7128E-3	-2.9311E-3	-2.1142E-3	0.00566
S1_12357989	-5.958E-3	-1.3989E-3	0.03383	0.01793	0.02472
S1_12358050	-1.2496E-2	0.00111	0.0475	0.02416	0.03598
S1_12358051	-1.1427E-2	3.3338E-4	0.04706	0.02563	0.03566
S1_12358054	-1.2392E-2	-7.4569E-3	0.04174	0.03183	0.04123
S1_12358062	-1.2951E-2	-7.1767E-4	0.04238	0.02769	0.03658
S1_12358102	-1.2801E-2	-1.176E-2	0.0512	0.02828	0.04911
S1_12358103	-1.3283E-2	-1.0487E-2	0.05201	0.02288	0.0456
S1_12358107	-1.2854E-2	-1.1746E-2	0.05022	0.02891	0.05039
S1_12868654	-2.6775E-2	0.02271	-1.5232E-2	0.00152	-9.1114E-3
S1_12868656	-2.6248E-2	0.02544	-1.4414E-2	-2.4059E-4	-8.2004E-3
S1_12868684	-2.5672E-2	0.01314	-1.4611E-2	0.00355	-1.1325E-2
S1_12868702	-2.704E-3	-3.8979E-2	0.00226	-3.2264E-2	0.03523
S1_12868715	0.03222	0.01199	-3.4064E-2	0.01512	0.01756
S1_13673989	-3.5297E-2	0.01862	-1.9881E-2	0.01224	-1.101E-2
S1_13674037	-3.8694E-2	0.01106	-2.3455E-2	0.00953	-7.3503E-3
S1_13674038	-3.9668E-2	-4.8979E-4	-1.7091E-2	0.05445	0.03158
S1_13898507	-1.1442E-2	-3.9103E-2	-8.746E-3	0.00921	-2.2725E-3
S1_15651220	-2.1509E-2	0.01146	-1.4645E-3	0.01693	9.6482E-4
S1_15737688	0.00256	0.00198	-6.7745E-3	9.0364E-4	0.00945
S1_16129333	0.00525	0.00574	4.58E-4	0.00576	-8.3994E-3
S1_16129487	-1.3681E-3	-1.4258E-2	-9.8282E-3	9.7269E-4	-4.9801E-3
S1_16129610	-1.0662E-2	-2.962E-2	-8.0289E-3	0.01665	-1.0934E-2
S1_16129758	-9.9738E-3	-2.6846E-2	-5.1827E-4	0.00619	-6.9348E-3
S1_16135919	-2.3499E-3	0.01346	0.02663	0.03126	0.00269
S1_16136057	0.02814	0.01574	-3.198E-2	0.01975	0.01994
S1_16470431	-4.3785E-3	-1.8923E-2	-1.9721E-3	0.00337	-9.6952E-3
S1_16470467	-3.653E-3	-1.7194E-2	0.00218	5.5758E-4	-1.0898E-2
S1_16907671	0.03186	-5.5772E-4	-3.0235E-2	0.00166	0.01273
S1_16907683	0.032	0.00108	-2.9731E-2	0.00173	0.00667
S1_17180376	0.03341	0.01163	-4.2728E-2	0.01002	0.01182
S1_17180427	0.03732	0.01031	-4.1958E-2	0.01433	0.00329
S1_17282936	0.04669	0.01056	-2.4414E-2	0.00916	-2.0923E-2
S1_17283114	0.03719	0.01283	-3.3814E-2	0.00538	0.00899
S1_17283163	-1.6564E-2	-4.9553E-2	0.01453	0.01364	0.0497
S1_17395610	-2.3371E-2	0.03513	-9.7794E-3	-4.9088E-3	-8.3302E-3
S1_17395631	-2.3015E-2	-4.1003E-2	0.01455	0.03261	0.02393
S1_17395640	-2.5833E-2	0.03935	-7.5462E-3	-5.8532E-4	-6.5128E-3
S1_17454279	-3.4533E-2	-3.948E-3	-2.2516E-2	0.04606	0.02273
S1_17848327	-5.3252E-3	-1.5509E-2	7.5755E-4	0.00893	-1.0141E-2
S1_17848427	-8.742E-3	-5.6241E-2	-2.027E-3	-3.3779E-2	0.03014
S1_17908504	-2.0499E-2	0.02713	-8.5227E-3	-2.5441E-3	-6.8442E-3
S1_17908668	0.0281	0.00552	-2.9598E-2	0.01307	0.0181
S1_18101579	0.032	0.00793	-3.9916E-2	0.01253	0.0162
S1_18520003	0.02875	0.00788	-3.1273E-2	0.01154	0.01985
S1_18520005	0.02816	0.00903	-3.0816E-2	0.01131	0.02049
S1_18614239	-2.3437E-3	-1.1232E-2	0.01066	-2.4309E-2	0.00752
S1_18614249	-6.5338E-3	0.01246	0.02457	0.05292	0.01314
S1_18614271	-4.2502E-3	0.01179	0.02371	0.04498	0.01059
S1_18872837	-2.7203E-2	0.03403	0.00802	0.01056	0.06351
S1_19097913	0.0258	0.00837	-2.2681E-2	-1.3513E-2	0.03164
S1_19153686	0.00395	-9.9703E-3	0.003	-1.3946E-2	0.00685
S1_19153729	0.00144	0.00438	0.03143	0.05057	0.01587
S1_19153788	0.04148	0.01134	-3.5428E-2	0.00619	0.00824
S1_19442210	0.02974	0.00875	-3.6557E-2	0.01602	3.5645E-4
S1_19697207	-5.5335E-4	-5.2836E-3	0.02389	-2.5156E-2	0.00622
S1_19697232	-1.0227E-2	-2.5866E-2	-6.3277E-3	0.00463	-1.7302E-2
S1_19847629	0.04186	0.02003	-3.9951E-2	-7.9817E-4	0.02893
S1_19847673	-8.1554E-3	-2.3336E-2	-9.1997E-3	0.0039	-1.4452E-2
S1_20065828	-2.23E-2	0.02123	-1.6977E-4	-3.7178E-2	0.02991
S1_20213780	0.02766	0.00915	-2.6872E-2	0.00984	0.02569
S1_20268607	-4.6312E-2	-6.735E-3	-2.049E-2	-1.2703E-2	0.00639
S1_20309837	0.00335	0.00231	0.00445	0.00285	-6.9961E-3
S1_20310362	-2.6553E-4	0.00998	0.02526	0.03797	-1.956E-3
S1_20380554	-3.6547E-2	0.00338	-3.0306E-2	0.0053	-6.7011E-3
S1_20380559	-3.6108E-2	0.00256	-2.9872E-2	0.00565	-6.804E-3
S1_20380711	-2.7165E-3	0.00513	0.01097	0.03655	0.00694
S1_20387695	0.00103	0.00817	0.02148	0.03727	0.00544
S1_20802775	0.02711	-1.3382E-3	-1.7148E-2	-4.2817E-2	0.03431
S1_20802791	0.02851	7.8011E-4	-6.6739E-3	-5.3938E-2	0.01436
S1_20802803	0.03644	0.00432	-7.4699E-3	-4.8134E-2	0.01101
S1_20963422	0.00852	-1.195E-2	2.6565E-4	-2.2858E-2	0.01588
S1_20968168	-5.0373E-2	-2.9104E-3	-1.2608E-2	-1.457E-2	0.01501
S1_20968233	-4.3639E-2	-7.3986E-3	-2.2599E-2	-1.5497E-2	0.01641
S1_20968237	-4.4092E-2	-9.2027E-3	-2.332E-2	-1.6964E-2	0.01722
