Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
S1_5568259	-7.4294E-3	-1.8812E-2	-4.2801E-3	0.00434	-5.5882E-4
S1_5726318	0.01935	0.02314	-1.7328E-2	0.00903	-2.0523E-2
S1_5726406	0.02435	-2.8195E-4	-1.2752E-2	-1.13E-2	-2.5376E-2
S1_5734210	0.00593	-8.0385E-3	0.02453	0.06462	-2.249E-3
S1_5845621	0.02484	-1.44E-2	-1.5656E-2	-6.5438E-3	-2.2121E-2
S1_5856559	0.01851	0.02098	-1.0839E-2	0.00522	-1.0745E-2
S1_5880244	0.00654	-1.9904E-2	0.00695	-9.3955E-4	-2.2115E-3
S1_5926266	0.01566	-2.6755E-2	-3.2763E-2	0.00226	-9.8478E-3
S1_5951857	0.03207	0.01066	-9.8436E-3	-1.5964E-2	-2.0946E-2
S1_6079764	2.258E-4	-1.9426E-3	-1.2218E-2	-4.7253E-3	0.00326
S1_6105125	0.01528	0.01953	0.0207	0.00475	-5.8719E-3
S1_6152668	0.01939	0.02703	0.02442	-1.5133E-3	-4.8603E-3
S1_6152719	0.01994	0.02747	0.02623	-9.6038E-3	-2.3166E-3
S1_6153211	0.02175	0.02825	0.02907	-8.4684E-3	0.00228
S1_6153217	0.02252	0.02638	0.02963	-8.7039E-3	-1.3852E-4
S1_6153220	0.02219	0.02731	0.02488	-1.844E-2	-1.8083E-5
S1_6153366	0.02434	0.0266	0.02661	-1.8387E-2	-3.6477E-3
S1_6153393	0.02094	0.02478	0.02532	-1.701E-2	-6.0395E-3
S1_6153882	0.02072	0.0224	0.0273	-7.0018E-3	-7.8905E-3
S1_6212018	0.01222	0.01777	0.01673	0.00144	-1.9332E-3
S1_6223805	0.01989	0.02671	0.0296	-1.8309E-3	-1.1718E-2
S1_6283501	0.00612	-1.0385E-3	-3.2761E-2	0.01104	-3.9554E-2
S1_6377333	0.00129	-1.0909E-3	0.00413	0.00249	0.00164
S1_6377401	0.01663	-3.4749E-2	-3.3355E-2	0.01196	-3.0813E-2
S1_6425691	0.02984	0.00212	-1.1257E-2	-1.5421E-2	-2.6107E-2
S1_6425748	0.03052	7.845E-4	-1.1199E-2	-1.4833E-2	-2.812E-2
S1_6425776	0.02834	-1.6493E-3	-1.3203E-2	-1.9256E-2	-1.7957E-2
S1_6425823	-1.4734E-3	-1.0725E-2	0.00432	0.01713	-4.4333E-3
S1_6447163	-6.5736E-4	-7.0025E-3	0.01168	0.00475	0.023
S1_6447166	-1.0846E-3	-8.8915E-3	0.00448	0.02163	-8.7465E-3
S1_6447167	-3.5347E-3	-9.3216E-3	0.00248	0.02805	-9.5322E-3
S1_6457321	-1.3031E-3	-8.6296E-3	0.00449	0.01786	-4.8914E-3
S1_6457893	0.0055	0.00504	-3.5587E-2	0.01723	-1.9084E-2
S1_6497770	-2.066E-3	-3.7226E-3	0.00333	0.0237	-1.3658E-2
S1_6497771	-2.584E-3	-4.015E-3	0.00164	0.02866	-1.1501E-2
S1_6497805	-1.6313E-3	-1.8576E-3	-1.058E-2	-4.2629E-2	0.02415
S1_6542242	-1.8855E-4	-1.5354E-3	-4.0951E-3	6.1634E-4	0.01121
S1_6542244	-3.1698E-3	-8.9899E-3	-5.9001E-3	-1.2435E-3	0.01457
S1_6623446	0.0087	-2.1729E-2	-2.5925E-2	0.00503	-1.4064E-2
S1_6623447	0.00897	-1.9802E-2	-2.339E-2	7.7206E-4	-1.253E-2
S1_6635913	0.00469	-1.1137E-2	0.02803	0.07354	-2.793E-2
S1_6638728	-2.8186E-3	-5.719E-3	-3.1335E-3	0.03981	-2.2484E-2
S1_6638729	-8.3295E-4	-3.3891E-3	-1.7429E-3	0.02765	-1.2325E-2
S1_6638758	-3.052E-3	-7.243E-3	0.00143	-7.7664E-3	0.01789
S1_6698746	0.03263	0.01156	-5.2899E-3	-1.4533E-2	-1.5907E-2
S1_6773334	-7.9516E-4	-6.0625E-4	0.00582	0.02035	-2.8362E-3
S1_6773392	0.01656	0.02435	0.02384	-2.961E-3	-9.9795E-3
S1_6773444	0.00778	-3.1887E-2	0.00943	-4.0472E-3	0.00445
S1_6914539	0.0035	-2.928E-3	0.01145	0.01861	-2.3815E-4
S1_6937950	0.01897	-2.529E-2	-2.6476E-2	-4.9607E-3	-1.9748E-2
S1_6937959	0.00673	0.00275	-3.557E-2	0.01691	-1.9846E-2
S1_6944592	0.03085	0.00165	-1.3049E-2	-1.3439E-2	-1.7505E-2
S1_6944595	0.03053	0.00268	-1.6202E-2	-1.0632E-2	-1.6744E-2
S1_6944607	0.03087	0.00259	-1.2126E-2	-1.433E-2	-2.7856E-2
S1_6944931	0.02951	-7.7687E-3	-4.801E-3	-1.5894E-3	-2.5779E-2
S1_6945003	0.01619	0.01639	-1.3319E-2	0.00543	-1.4227E-2
S1_6969262	0.01454	0.01673	-1.8544E-2	0.00573	-2.3818E-2
S1_7020491	0.02173	-9.393E-3	-9.5151E-3	0.00764	-8.6799E-3
S1_7071554	0.00202	-4.7635E-3	0.00773	0.01175	-1.0893E-2
S1_7071587	-2.7933E-3	-3.8196E-4	-8.0432E-3	-2.6442E-2	0.01498
S1_7084562	0.02393	0.02917	-1.6142E-2	-7.5369E-3	-1.5362E-2
S1_7088373	0.03111	0.03348	-1.0482E-2	0.0057	-2.0396E-2
S1_7146406	0.01928	0.01851	-3.4399E-2	0.02339	-1.5139E-2
S1_7178511	0.02615	0.03118	-2.1693E-2	0.01916	-1.6939E-2
S1_7378710	0.01542	0.02388	0.02036	-1.8652E-3	0.00506
S1_7436673	8.4806E-4	0.00609	-8.8588E-3	-1.5696E-2	0.01563
S1_7441811	-7.897E-4	-2.6873E-3	0.00552	0.02551	-1.2962E-2
S1_7441839	-3.1079E-3	0.00151	-5.318E-3	-7.0192E-3	0.00578
S1_7441863	-1.9684E-3	-1.6957E-3	-4.5567E-3	0.00386	0.0017
S1_7534290	0.02256	0.00356	-1.2542E-2	-1.3188E-3	-1.2511E-2
S1_7566377	0.01574	-1.9612E-2	-2.0364E-2	0.00125	-2.0663E-2
S1_7615170	0.00787	0.00329	-3.1462E-2	0.01818	-1.1522E-2
S1_7668819	4.8777E-4	0.0061	-4.3509E-3	-2.8343E-2	-4.6344E-3
S1_7668821	-2.2679E-3	-2.9064E-4	-6.4116E-3	-2.7105E-2	0.01767
S1_7668849	6.194E-5	0.00566	-1.0483E-2	-1.7941E-2	0.01184
S1_7879030	0.03046	1.8483E-4	-1.5596E-2	-5.6089E-3	-3.1077E-2
S1_7914906	0.02909	0.00495	-8.8874E-3	-4.8128E-3	-2.5988E-3
S1_7927003	0.00989	0.01477	0.01452	0.00402	-9.2848E-3
S1_7997723	0.02627	9.6993E-4	-1.7367E-2	-1.8216E-2	-1.1992E-2
S1_8004185	0.01032	-2.9455E-2	0.01469	-8.9629E-3	3.2484E-4
S1_8004254	0.02677	-2.4657E-2	-1.1971E-2	0.01148	-1.2091E-2
S1_8004269	0.01042	-2.7791E-2	0.01495	-1.0309E-2	-5.1906E-3
S1_8028008	0.00269	-3.9236E-3	0.01107	0.01049	-9.7462E-3
S1_8028011	0.00292	-1.3926E-3	0.01236	0.01253	-8.8939E-3
S1_8028250	0.02914	-2.0648E-3	-7.0745E-3	-1.2392E-2	-2.24E-2
S1_8067656	0.02345	-1.7685E-2	-1.2291E-2	0.01045	-1.3733E-2
S1_8080599	0.02818	-7.3482E-3	-1.1356E-2	-1.4478E-2	-2.1444E-2
S1_8080680	0.0114	0.01639	0.0173	0.00303	-1.1004E-2
S1_8122106	0.00502	-2.1556E-2	0.00669	-1.6118E-3	-2.363E-3
S1_8185131	0.01325	0.01528	0.01856	0.00157	-8.5089E-3
S1_8200903	0.01162	0.01026	0.01665	0.00386	-7.4503E-3
S1_8200951	0.01179	0.01158	0.01554	0.00596	-4.9052E-3
S1_8200957	0.01066	0.01108	0.01438	0.00739	-4.0881E-3
S1_8200965	0.01078	0.01116	0.01417	0.00704	-3.4157E-3
S1_8200966	0.01048	0.01053	0.01399	0.00759	-3.3124E-3
S1_8200967	0.01075	0.01026	0.01342	0.00828	-2.566E-3
S1_8201070	0.01107	0.017	0.01436	-1.73E-3	-2.4595E-4
S1_8201131	0.00534	0.0026	-3.9351E-2	0.01744	-3.2231E-2
S1_8224214	0.00611	-2.3183E-2	0.00876	-6.6805E-3	-7.377E-4
S1_8224286	0.01422	0.02391	0.02144	8.2425E-4	-1.2264E-2
S1_8263240	0.02505	-5.4529E-4	0.03164	-2.2187E-2	-7.4034E-3
S1_8268577	0.03287	-7.6618E-3	-1.2966E-2	-7.3495E-3	-1.5099E-2
S1_8324075	0.02036	-1.4551E-3	0.02667	-1.02E-2	-9.212E-3
S1_8338580	0.01716	-1.9038E-2	-2.2179E-2	0.01837	-2.4662E-2
S1_8398179	0.0046	-2.5453E-2	0.00763	-6.2153E-3	-4.9067E-3
S1_8422882	0.01373	0.01908	0.01994	0.00221	-1.295E-2
S1_8494360	-1.4244E-3	-3.9593E-3	0.00311	0.00416	0.00459
S1_8508649	0.03096	6.164E-5	-1.4632E-2	-7.9121E-3	-1.2082E-2
S1_8543239	0.02024	0.02241	-1.6069E-2	0.00685	-1.2881E-2
S1_8543242	0.01946	0.02219	-1.5119E-2	0.0062	-1.3182E-2
S1_8543351	0.01616	0.01466	-1.3463E-2	0.0134	-6.652E-3
S1_8543408	0.02119	-5.5388E-3	-1.7385E-2	0.01246	0.00214
S1_8560761	0.03326	0.00227	-7.8871E-3	-1.0153E-2	-1.8981E-2
S1_8560766	0.03377	0.00297	-8.8969E-3	-1.203E-2	-1.5925E-2
S1_8685364	0.01173	-3.9899E-3	-6.9716E-3	-1.5854E-3	-1.4664E-2
S1_8685398	0.01302	6.1888E-4	-1.0421E-2	-4.6921E-3	-1.0587E-2
S1_8685406	0.01216	-2.7446E-4	-1.2294E-2	-3.8647E-3	-9.6879E-3
S1_8685407	0.01249	5.395E-4	-1.2077E-2	-4.6637E-3	-9.6576E-3
S1_8685408	0.01252	-4.6909E-4	-1.1901E-2	-3.5773E-3	-9.3193E-3
S1_8685411	0.01351	3.1115E-4	-1.3086E-2	-1.519E-3	-1.442E-2
S1_8685417	0.01527	-1.7504E-3	-1.2295E-2	-5.1508E-3	-1.2398E-2
S1_8685431	0.02131	-6.1252E-3	-1.4041E-2	-3.1287E-3	-1.1069E-2
S1_8685468	0.02916	-4.4371E-3	-1.6641E-2	-1.715E-2	-1.3348E-2
S1_8685482	0.02972	-4.7214E-3	-1.6322E-2	-1.1399E-2	-1.9579E-2
S1_8685486	0.03125	-3.0893E-3	-1.2595E-2	-1.5293E-2	-1.9717E-2
S1_8685491	0.02915	4.4074E-4	-1.0778E-2	-1.4125E-2	-1.8274E-2
S1_8685502	0.02731	0.0011	-2.1371E-2	-6.541E-3	-6.266E-3
S1_8685609	0.02514	-6.3777E-4	-1.1861E-2	-7.7611E-3	-1.6385E-2
S1_8685612	0.02508	-9.3947E-4	-1.3977E-2	-4.9146E-3	-1.3664E-2
S1_8694602	0.0184	-1.2819E-2	0.02681	-9.5218E-3	-1.422E-3
S1_8694636	0.02189	-5.1213E-3	-1.4684E-2	-1.7239E-2	-1.1093E-2
S1_8755339	0.02517	0.00213	-3.5981E-3	-1.9865E-2	-1.8279E-2
S1_8792851	-2.1317E-3	0.00389	-1.3482E-2	-6.1588E-2	0.01654
S1_8792853	-3.2763E-3	0.00176	-1.6614E-2	-6.9212E-2	0.0314
S1_8792857	1.1076E-4	0.00244	-1.5004E-2	-8.0582E-2	0.04628
S1_8861324	2.017E-4	-6.5013E-3	0.00245	0.01151	0.00163
S1_9217850	0.00536	0.00483	-2.9149E-2	0.01863	-2.0207E-2
S1_9217853	0.00542	0.00468	-2.798E-2	0.01966	-1.3286E-2
S1_9300986	0.00598	0.00233	-3.9024E-2	0.01842	-2.2578E-2
S1_9380477	0.0163	-1.8072E-2	0.02165	-4.413E-3	-3.3129E-3
S1_9380491	0.01399	-1.852E-2	0.02091	-8.5445E-3	-5.0931E-3
S1_9484373	0.02491	0.00786	-2.3839E-3	-6.1832E-4	-1.9631E-2
S1_9484379	0.02535	0.00496	-3.2736E-3	0.00423	-1.8541E-2
S1_9484385	0.02689	0.00217	-3.9962E-3	0.00562	-1.6295E-2
S1_9516408	0.00632	0.00291	-4.0031E-2	0.02028	-1.9735E-2
S1_9516558	-8.88E-4	-3.0547E-3	0.00591	0.00752	0.00885
S1_9516570	-9.0089E-4	-3.7325E-3	0.0119	0.00237	0.01073
S1_9534045	0.01986	0.02059	0.0264	0.00143	-4.4799E-3
S1_9671443	0.01295	0.012	-1.8136E-2	-9.9062E-4	-1.9762E-2
S1_9671467	0.01462	0.01463	-2.4213E-2	0.00398	-1.1102E-2
S1_9671522	0.01089	0.00806	-1.6941E-2	0.00714	-1.8922E-2
S1_9731420	0.02391	-4.4212E-3	0.03211	-7.2068E-3	-2.7493E-3
S1_9741925	0.01835	0.02551	0.02705	-3.544E-3	-1.1292E-2
S1_9747845	0.02624	-1.1766E-2	0.02828	-1.9634E-2	0.00575
S1_9832816	-4.6754E-3	-1.5254E-2	0.00567	0.02357	-1.4395E-2
S1_9832817	-7.1867E-3	-1.1748E-2	0.00281	0.01778	4.8403E-4
S1_9832818	-5.9709E-3	-7.6242E-3	0.00315	0.02529	-1.7889E-2
S1_10026072	0.02836	-1.8776E-3	-1.2973E-2	-6.401E-3	-8.3725E-3
S1_10151026	0.03201	-7.9436E-4	-9.9144E-3	-1.4597E-2	-1.6768E-2
S1_10151089	0.03181	-6.5957E-3	-9.9933E-3	-1.4458E-3	-1.36E-2
S1_10151122	0.03044	-7.014E-3	-2.7088E-3	0.00864	-2.8647E-2
S1_10151308	0.0183	-7.752E-3	-5.9201E-3	-2.4892E-3	-2.4153E-2
S1_10151316	0.01685	-3.1819E-3	-7.0075E-3	-2.2943E-3	-1.6145E-2
S1_10151320	0.01464	-3.2237E-3	-7.4814E-3	-7.0867E-3	-1.6176E-2
S1_10152032	7.258E-6	-6.4469E-3	-7.2978E-3	-2.0875E-2	0.00772
S1_10277998	0.00556	0.00268	-3.3226E-2	0.02034	-1.1525E-2
S1_10373703	0.01823	-4.9289E-3	0.01809	-2.0526E-2	0.0129
S1_10373778	0.00443	-1.826E-3	0.00621	-8.2802E-4	0.02017
S1_10373801	-2.6065E-3	-6.965E-4	2.1863E-5	0.00234	0.02622
S1_10377687	0.0176	0.02264	0.0247	-2.4675E-3	-4.4739E-3
S1_10449685	0.02969	-2.9907E-3	0.00509	0.00521	0.02223
S1_10449740	0.00648	-2.8748E-2	0.01031	-3.0556E-3	-4.3385E-3
S1_10449793	0.02604	-5.0987E-3	0.00609	0.00636	0.03096
S1_10449807	0.02591	-1.977E-3	2.4608E-4	-5.0176E-5	0.01753
S1_10472279	9.1152E-4	0.00177	0.00621	0.01722	-3.2443E-3
S1_10472734	0.00898	0.01315	0.01308	-3.0375E-4	0.00152
S1_10473258	-1.8479E-3	-8.5424E-3	0.0082	0.05685	-1.7121E-2
S1_10473260	-2.1312E-3	-7.9944E-3	0.00808	0.05801	-1.816E-2
S1_10479015	0.00909	-2.9104E-2	0.01299	-4.1879E-3	-8.9568E-3
S1_10479036	0.00541	-2.2461E-2	0.00781	-3.2596E-3	-4.0621E-3
S1_10640583	0.01795	0.03024	0.02559	-6.5246E-3	-8.8379E-3
S1_10640661	0.00894	-3.2266E-2	0.00948	-7.9594E-3	-8.6729E-3
